Date : 2021-11-08 23:39:38
Directory : c:\Users\Ori\Documents\CODES\general\project4
Total : 117 files,  17322 codes, 240 comments, 692 blanks, all 18254 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          8 |     14,416 |          3 |          8 |     14,427 |
| TypeScript |         46 |      1,478 |        150 |        413 |      2,041 |
| HTML       |         26 |        610 |         15 |         83 |        708 |
| JavaScript |         11 |        561 |         50 |         90 |        701 |
| CSS        |         24 |        173 |         22 |         62 |        257 |
| SQL        |          1 |         70 |          0 |         22 |         92 |
| Markdown   |          1 |         14 |          0 |         14 |         28 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                   | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                      |        117 |     17,322 |        240 |        692 |     18,254 |
| client                                                                                                                 |        104 |     14,774 |        196 |        580 |     15,550 |
| client\src                                                                                                             |         96 |      2,261 |        187 |        558 |      3,006 |
| client\src\app                                                                                                         |         89 |      2,089 |         94 |        504 |      2,687 |
| client\src\app\admin-list                                                                                              |          3 |         21 |          2 |         14 |         37 |
| client\src\app\components                                                                                              |         67 |      1,197 |         42 |        341 |      1,580 |
| client\src\app\components\admin-editbar                                                                                |          3 |        117 |          0 |         28 |        145 |
| client\src\app\components\admin-item                                                                                   |          3 |         38 |          0 |         12 |         50 |
| client\src\app\components\admin-list                                                                                   |          3 |         18 |          0 |         15 |         33 |
| client\src\app\components\admin-main                                                                                   |          3 |         33 |          0 |         12 |         45 |
| client\src\app\components\header                                                                                       |          3 |         38 |          0 |         11 |         49 |
| client\src\app\components\login-about                                                                                  |          3 |         24 |          0 |         11 |         35 |
| client\src\app\components\login-block                                                                                  |          3 |         80 |          0 |         10 |         90 |
